participant_id,participant_login,episode_id,n_targets,n_banners,RTs,speed,response_window,start_times,delta_orientation,nb_targets_retrieved,nb_distractor_retrieved,F1_score,secondary_answers,secondary_ratio,idle_time,date
707,bot,374710,1,2,"[1042, 1042]",1.5,1040.0,"[1347.321037796369, 235.13990050364978]",45.0,0,11,0.0,"[0, 0]",0.0,1757.0,2023-12-07 14:52:36.501507+00:00
707,bot,374711,1,2,"[1042, 1042]",1.0,1040.0,"[1347.321037796369, 235.13990050364978]",45.0,0,11,0.0,"[0, 0]",0.0,1757.0,2023-12-07 14:52:40.826649+00:00
707,bot,374712,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.843774+00:00
707,bot,374713,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.866782+00:00
707,bot,374714,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.881666+00:00
707,bot,374715,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.891781+00:00
707,bot,374716,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.907177+00:00
707,bot,374717,1,2,"[0, 0]",1.5,1300.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.936677+00:00
707,bot,374718,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.950482+00:00
707,bot,374719,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.961122+00:00
707,bot,374720,1,2,"[0, 0]",1.0,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.972127+00:00
707,bot,374721,1,1,[0],2.0,1040.0,[0],45.0,1,11,1.0,[1],1.0,1757.0,2023-12-07 14:52:40.982939+00:00
707,bot,374722,1,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,1,11,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:40.999249+00:00
707,bot,374723,1,1,[0],1.5,1300.0,[0],45.0,1,11,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.020451+00:00
707,bot,374724,1,3,"[0, 0, 0]",1.0,1040.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.035256+00:00
707,bot,374725,2,2,"[0, 0]",1.0,1300.0,"[0, 0]",45.0,2,10,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.043933+00:00
707,bot,374726,2,1,[0],1.5,1300.0,[0],45.0,2,10,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.057404+00:00
707,bot,374727,2,2,"[0, 0]",1.5,1300.0,"[0, 0]",45.0,2,10,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.066113+00:00
707,bot,374728,2,1,[0],1.0,1040.0,[0],45.0,2,10,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.073709+00:00
707,bot,374729,2,1,[0],2.0,1040.0,[0],45.0,2,10,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.082087+00:00
707,bot,374730,2,2,"[0, 0]",1.0,832.0,"[0, 0]",45.0,2,10,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.088468+00:00
707,bot,374731,1,3,"[0, 0, 0]",1.0,832.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.098198+00:00
707,bot,374732,1,4,"[0, 0, 0, 0]",1.0,832.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.108540+00:00
707,bot,374733,1,3,"[0, 0, 0]",2.0,666.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.120383+00:00
707,bot,374734,2,3,"[0, 0, 0]",1.5,1300.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.139306+00:00
707,bot,374735,2,3,"[0, 0, 0]",2.0,1040.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.153299+00:00
707,bot,374736,2,1,[0],2.0,832.0,[0],45.0,2,10,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.166675+00:00
707,bot,374737,1,3,"[0, 0, 0]",1.0,666.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.173575+00:00
707,bot,374738,1,4,"[0, 0, 0, 0]",2.0,832.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.192693+00:00
707,bot,374739,1,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.206429+00:00
707,bot,374740,2,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.214231+00:00
707,bot,374741,2,1,[0],1.5,832.0,[0],45.0,2,10,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.222853+00:00
707,bot,374742,2,3,"[0, 0, 0]",2.0,666.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.229694+00:00
707,bot,374743,1,4,"[0, 0, 0, 0]",1.5,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.235895+00:00
707,bot,374744,1,3,"[0, 0, 0]",2.0,532.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.243921+00:00
707,bot,374745,1,4,"[0, 0, 0, 0]",1.0,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.251239+00:00
707,bot,374746,2,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.257427+00:00
707,bot,374747,2,3,"[0, 0, 0]",2.5,1040.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.266256+00:00
707,bot,374748,2,4,"[0, 0, 0, 0]",3.0,1040.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.280455+00:00
707,bot,374749,3,1,[0],1.0,1300.0,[0],45.0,3,9,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.290569+00:00
707,bot,374750,3,2,"[0, 0]",1.5,1300.0,"[0, 0]",45.0,3,9,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.299271+00:00
707,bot,374751,3,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,3,9,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.306920+00:00
707,bot,374752,3,1,[0],1.0,1300.0,[0],45.0,3,9,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.314981+00:00
707,bot,374753,3,2,"[0, 0]",1.5,1040.0,"[0, 0]",45.0,3,9,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.323958+00:00
707,bot,374754,3,1,[0],2.0,832.0,[0],45.0,3,9,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.334415+00:00
707,bot,374755,1,3,"[0, 0, 0]",3.0,832.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.348708+00:00
707,bot,374756,1,4,"[0, 0, 0, 0]",1.5,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.356497+00:00
707,bot,374757,1,3,"[0, 0, 0]",1.0,532.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.362576+00:00
707,bot,374758,2,2,"[0, 0]",1.0,532.0,"[0, 0]",45.0,2,10,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.369483+00:00
707,bot,374759,2,1,[0],3.0,832.0,[0],45.0,2,10,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.380361+00:00
707,bot,374760,2,3,"[0, 0, 0]",3.5,666.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.400820+00:00
707,bot,374761,3,2,"[0, 0]",1.0,1040.0,"[0, 0]",45.0,3,9,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.414732+00:00
707,bot,374762,3,3,"[0, 0, 0]",1.0,832.0,"[0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.430380+00:00
707,bot,374763,3,3,"[0, 0, 0]",2.0,1040.0,"[0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.452683+00:00
707,bot,374764,2,4,"[0, 0, 0, 0]",2.5,1040.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.465557+00:00
707,bot,374765,2,2,"[0, 0]",3.0,1040.0,"[0, 0]",45.0,2,10,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.481592+00:00
707,bot,374766,2,4,"[0, 0, 0, 0]",3.5,1040.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.492647+00:00
707,bot,374767,1,4,"[0, 0, 0, 0]",3.0,832.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.515148+00:00
707,bot,374768,1,3,"[0, 0, 0]",1.5,532.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.588811+00:00
707,bot,374769,1,3,"[0, 0, 0]",3.5,532.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.598765+00:00
707,bot,374770,3,4,"[0, 0, 0, 0]",2.5,832.0,"[0, 0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.624310+00:00
707,bot,374771,3,4,"[0, 0, 0, 0]",2.0,1040.0,"[0, 0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.650633+00:00
707,bot,374772,3,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.656899+00:00
707,bot,374773,4,1,[0],1.5,1300.0,[0],45.0,4,8,1.0,[1],1.0,1757.0,2023-12-07 14:52:41.698644+00:00
707,bot,374774,4,2,"[0, 0]",1.0,1040.0,"[0, 0]",45.0,4,8,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.743362+00:00
707,bot,374775,4,2,"[0, 0]",1.0,1040.0,"[0, 0]",45.0,4,8,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.791533+00:00
707,bot,374776,1,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.882882+00:00
707,bot,374777,1,4,"[0, 0, 0, 0]",1.5,832.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.908974+00:00
707,bot,374778,1,3,"[0, 0, 0]",1.5,832.0,"[0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:41.924514+00:00
707,bot,374779,2,2,"[0, 0]",3.5,832.0,"[0, 0]",45.0,2,10,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:41.954264+00:00
